Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_geographiques;Departement
78033;AULNAY SUR MAULDRE;78126;;AULNAY SUR MAULDRE;48.928322262, 1.840813007;78
78117;BUC;78530;;BUC;48.772689837, 2.1249651;78
78123;CARRIERES SOUS POISSY;78955;LES GRESILLONS;CARRIERES SOUS POISSY;48.94570054, 2.028794429;78
78143;CHATEAUFORT;78117;;CHATEAUFORT;48.739095128, 2.095233331;78
78398;LES MESNULS;78490;;LES MESNULS;48.754445479, 1.834461297;78
78416;MONTALET LE BOIS;78440;;MONTALET LE BOIS;49.048387467, 1.829812516;78
78624;TRIEL SUR SEINE;78510;;TRIEL SUR SEINE;48.978288982, 2.008358298;78
78653;VICQ;78490;;VICQ;48.821527006, 1.827627129;78
91095;BOURAY SUR JUINE;91850;;BOURAY SUR JUINE;48.512440637, 2.295832847;91
91175;CORBREUSE;91410;;CORBREUSE;48.494735434, 1.96077665;91
91457;LA NORVILLE;91290;;LA NORVILLE;48.581342717, 2.26568522;91
92007;BAGNEUX;92220;;BAGNEUX;48.798310364, 2.310099988;92
92048;MEUDON;92360;MEUDON LA FORET;MEUDON;48.804093282, 2.227332801;92
92060;LE PLESSIS ROBINSON;92350;;LE PLESSIS ROBINSON;48.780251597, 2.25980883;92
92063;RUEIL MALMAISON;92500;BUZENVAL;RUEIL MALMAISON;48.869374523, 2.17771477;92
93010;BONDY;93140;;BONDY;48.902243865, 2.484137001;93
93013;LE BOURGET;93350;;LE BOURGET;48.936210518, 2.427612443;93
93066;ST DENIS;93210;LA PLAINE ST DENIS;ST DENIS;48.929643578, 2.359289324;93
94016;CACHAN;94230;;CACHAN;48.791662561, 2.332077446;94
95091;BOUFFEMONT;95570;;BOUFFEMONT;49.04155948, 2.298093576;95
95252;FRANCONVILLE;95130;;FRANCONVILLE LA GARENNE;48.98831458, 2.224194522;95
95641;VEMARS;95470;;VEMARS;49.06293876, 2.567173124;95
95656;VIENNE EN ARTHIES;95510;;VIENNE EN ARTHIES;49.066478405, 1.722082988;95
95690;WY DIT JOLI VILLAGE;95420;;WY DIT JOLI VILLAGE;49.095847161, 1.824388034;95
77006;ARBONNE LA FORET;77630;;ARBONNE LA FORET;48.410407079, 2.560970923;77
77042;BOISSY LE CHATEL;77169;;BOISSY LE CHATEL;48.825448268, 3.137381804;77
77069;CHAILLY EN BIERE;77930;;CHAILLY EN BIERE;48.469522218, 2.611649165;77
77103;CHATILLON LA BORDE;77820;;CHATILLON LA BORDE;48.537902393, 2.826897836;77
77108;CHELLES;77500;;CHELLES;48.883978399, 2.597093098;77
77118;CLAYE SOUILLY;77410;;CLAYE SOUILLY;48.942941014, 2.675081572;77
77136;COURQUETAINE;77390;;COURQUETAINE;48.679819434, 2.747097089;77
77223;GURCY LE CHATEL;77520;;GURCY LE CHATEL;48.484161716, 3.081063633;77
77515;VILLEROY;77410;;VILLEROY;48.98298152, 2.782580459;77
77523;VILLUIS;77480;;VILLUIS;48.405317092, 3.35956972;77
78092;BOUGIVAL;78380;;BOUGIVAL;48.863492566, 2.137406812;78
78194;DANNEMARIE;78550;;DANNEMARIE;48.764127448, 1.608103265;78
78206;ECQUEVILLY;78920;;ECQUEVILLY;48.945850142, 1.920725015;78
78269;GAZERAN;78125;;GAZERAN;48.63388841, 1.777681571;78
78356;MAGNY LES HAMEAUX;78114;;MAGNY LES HAMEAUX;48.741021066, 2.052213427;78
78575;ST REMY LES CHEVREUSE;78470;RHODON;ST REMY LES CHEVREUSE;48.704059438, 2.079135407;78
91161;CHILLY MAZARIN;91380;;CHILLY MAZARIN;48.707458941, 2.311573611;91
91338;LIMOURS;91470;;LIMOURS;48.646649279, 2.080778322;91
91553;ST GERMAIN LES CORBEIL;91250;;ST GERMAIN LES CORBEIL;48.625041408, 2.492346563;91
91631;VARENNES JARCY;91480;;VARENNES JARCY;48.681024413, 2.562784314;91
92062;PUTEAUX;92800;;PUTEAUX;48.883640381, 2.238727624;92
